INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2016-07-01T17:00:00-00:00,2016-07-01T18:00:00-00:00,2016-07-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.26975,1
2016-07-01T23:00:00-00:00,2016-07-02T00:00:00-00:00,2016-07-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.48417,1
2016-07-01T12:00:00-00:00,2016-07-01T13:00:00-00:00,2016-07-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.72335,1
2016-07-01T11:00:00-00:00,2016-07-01T12:00:00-00:00,2016-07-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.57408,1
2016-07-02T04:00:00-00:00,2016-07-02T05:00:00-00:00,2016-07-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.41071,1
2016-07-01T15:00:00-00:00,2016-07-01T16:00:00-00:00,2016-07-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.97726,1
2016-07-02T00:00:00-00:00,2016-07-02T01:00:00-00:00,2016-07-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,46.24598,1
2016-07-01T09:00:00-00:00,2016-07-01T10:00:00-00:00,2016-07-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.21595,1
2016-07-02T02:00:00-00:00,2016-07-02T03:00:00-00:00,2016-07-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.79296,1
2016-07-02T03:00:00-00:00,2016-07-02T04:00:00-00:00,2016-07-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,45.33064,1
2016-07-02T06:00:00-00:00,2016-07-02T07:00:00-00:00,2016-07-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.95797,1
2016-07-01T16:00:00-00:00,2016-07-01T17:00:00-00:00,2016-07-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.7153,1
2016-07-02T01:00:00-00:00,2016-07-02T02:00:00-00:00,2016-07-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,46.85797,1
2016-07-01T18:00:00-00:00,2016-07-01T19:00:00-00:00,2016-07-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.70656,1
2016-07-01T20:00:00-00:00,2016-07-01T21:00:00-00:00,2016-07-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.19583,1
2016-07-01T22:00:00-00:00,2016-07-01T23:00:00-00:00,2016-07-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,42.0478,1
2016-07-01T07:00:00-00:00,2016-07-01T08:00:00-00:00,2016-07-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.6025,1
2016-07-01T08:00:00-00:00,2016-07-01T09:00:00-00:00,2016-07-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.44174,1
2016-07-01T13:00:00-00:00,2016-07-01T14:00:00-00:00,2016-07-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.46077,1
2016-07-02T05:00:00-00:00,2016-07-02T06:00:00-00:00,2016-07-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.96977,1
