INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2016-08-02T04:00:00-00:00,2016-08-02T05:00:00-00:00,2016-08-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.90164,1
2016-08-01T17:00:00-00:00,2016-08-01T18:00:00-00:00,2016-08-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.55704,1
2016-08-01T19:00:00-00:00,2016-08-01T20:00:00-00:00,2016-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.11045,1
2016-08-01T23:00:00-00:00,2016-08-02T00:00:00-00:00,2016-08-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,47.99227,1
2016-08-01T10:00:00-00:00,2016-08-01T11:00:00-00:00,2016-08-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,25.87277,1
2016-08-01T09:00:00-00:00,2016-08-01T10:00:00-00:00,2016-08-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.16496,1
2016-08-01T08:00:00-00:00,2016-08-01T09:00:00-00:00,2016-08-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.31495,1
2016-08-01T15:00:00-00:00,2016-08-01T16:00:00-00:00,2016-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.64734,1
2016-08-02T03:00:00-00:00,2016-08-02T04:00:00-00:00,2016-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.08851,1
2016-08-01T16:00:00-00:00,2016-08-01T17:00:00-00:00,2016-08-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.8816,1
2016-08-01T11:00:00-00:00,2016-08-01T12:00:00-00:00,2016-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.57588,1
2016-08-02T01:00:00-00:00,2016-08-02T02:00:00-00:00,2016-08-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,60.62624,1
2016-08-01T21:00:00-00:00,2016-08-01T22:00:00-00:00,2016-08-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.00314,1
2016-08-01T12:00:00-00:00,2016-08-01T13:00:00-00:00,2016-08-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.11435,1
2016-08-02T06:00:00-00:00,2016-08-02T07:00:00-00:00,2016-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.26723,1
2016-08-01T22:00:00-00:00,2016-08-01T23:00:00-00:00,2016-08-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,42.03661,1
2016-08-02T05:00:00-00:00,2016-08-02T06:00:00-00:00,2016-08-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.51459,1
2016-08-02T00:00:00-00:00,2016-08-02T01:00:00-00:00,2016-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.01292,1
2016-08-01T13:00:00-00:00,2016-08-01T14:00:00-00:00,2016-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.04026,1
2016-08-01T07:00:00-00:00,2016-08-01T08:00:00-00:00,2016-08-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.0565,1
2016-08-02T02:00:00-00:00,2016-08-02T03:00:00-00:00,2016-08-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,60.2327,1
2016-08-01T20:00:00-00:00,2016-08-01T21:00:00-00:00,2016-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.98426,1
2016-08-01T18:00:00-00:00,2016-08-01T19:00:00-00:00,2016-08-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.29156,1
2016-08-01T14:00:00-00:00,2016-08-01T15:00:00-00:00,2016-08-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.36981,1
2016-08-01T19:00:00-00:00,2016-08-01T20:00:00-00:00,2016-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.46042,2
2016-08-01T07:00:00-00:00,2016-08-01T08:00:00-00:00,2016-08-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T14:00:00-00:00,2016-08-01T15:00:00-00:00,2016-08-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T23:00:00-00:00,2016-08-02T00:00:00-00:00,2016-08-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.22934,2
2016-08-02T06:00:00-00:00,2016-08-02T07:00:00-00:00,2016-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T18:00:00-00:00,2016-08-01T19:00:00-00:00,2016-08-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.60717,2
2016-08-02T05:00:00-00:00,2016-08-02T06:00:00-00:00,2016-08-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T16:00:00-00:00,2016-08-01T17:00:00-00:00,2016-08-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T11:00:00-00:00,2016-08-01T12:00:00-00:00,2016-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T09:00:00-00:00,2016-08-01T10:00:00-00:00,2016-08-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-02T04:00:00-00:00,2016-08-02T05:00:00-00:00,2016-08-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T20:00:00-00:00,2016-08-01T21:00:00-00:00,2016-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.34592,2
2016-08-01T15:00:00-00:00,2016-08-01T16:00:00-00:00,2016-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T22:00:00-00:00,2016-08-01T23:00:00-00:00,2016-08-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-1.6048,2
2016-08-02T02:00:00-00:00,2016-08-02T03:00:00-00:00,2016-08-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T10:00:00-00:00,2016-08-01T11:00:00-00:00,2016-08-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T21:00:00-00:00,2016-08-01T22:00:00-00:00,2016-08-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.74266,2
2016-08-02T03:00:00-00:00,2016-08-02T04:00:00-00:00,2016-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T08:00:00-00:00,2016-08-01T09:00:00-00:00,2016-08-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T17:00:00-00:00,2016-08-01T18:00:00-00:00,2016-08-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.51624,2
2016-08-02T01:00:00-00:00,2016-08-02T02:00:00-00:00,2016-08-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T13:00:00-00:00,2016-08-01T14:00:00-00:00,2016-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-01T12:00:00-00:00,2016-08-01T13:00:00-00:00,2016-08-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2016-08-02T00:00:00-00:00,2016-08-02T01:00:00-00:00,2016-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.10743,2
2016-08-02T05:00:00-00:00,2016-08-02T06:00:00-00:00,2016-08-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,39.35281,3
2016-08-02T01:00:00-00:00,2016-08-02T02:00:00-00:00,2016-08-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,62.31498,3
2016-08-02T02:00:00-00:00,2016-08-02T03:00:00-00:00,2016-08-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,61.37426,3
2016-08-02T06:00:00-00:00,2016-08-02T07:00:00-00:00,2016-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,33.90809,3
2016-08-01T09:00:00-00:00,2016-08-01T10:00:00-00:00,2016-08-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,26.80013,3
2016-08-01T20:00:00-00:00,2016-08-01T21:00:00-00:00,2016-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,40.21211,3
2016-08-02T04:00:00-00:00,2016-08-02T05:00:00-00:00,2016-08-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,42.7655,3
2016-08-01T07:00:00-00:00,2016-08-01T08:00:00-00:00,2016-08-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,29.66159,3
2016-08-01T11:00:00-00:00,2016-08-01T12:00:00-00:00,2016-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,27.16815,3
2016-08-01T22:00:00-00:00,2016-08-01T23:00:00-00:00,2016-08-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,45.69303,3
2016-08-02T00:00:00-00:00,2016-08-02T01:00:00-00:00,2016-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,50.98116,3
2016-08-01T10:00:00-00:00,2016-08-01T11:00:00-00:00,2016-08-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,26.50627,3
2016-08-01T13:00:00-00:00,2016-08-01T14:00:00-00:00,2016-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,31.71256,3
2016-08-02T03:00:00-00:00,2016-08-02T04:00:00-00:00,2016-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,52.06738,3
2016-08-01T18:00:00-00:00,2016-08-01T19:00:00-00:00,2016-08-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,35.37013,3
2016-08-01T08:00:00-00:00,2016-08-01T09:00:00-00:00,2016-08-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,27.98663,3
2016-08-01T12:00:00-00:00,2016-08-01T13:00:00-00:00,2016-08-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,28.71448,3
2016-08-01T17:00:00-00:00,2016-08-01T18:00:00-00:00,2016-08-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,33.47942,3
2016-08-01T21:00:00-00:00,2016-08-01T22:00:00-00:00,2016-08-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,40.6951,3
2016-08-01T15:00:00-00:00,2016-08-01T16:00:00-00:00,2016-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,30.74812,3
2016-08-01T19:00:00-00:00,2016-08-01T20:00:00-00:00,2016-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,37.17303,3
2016-08-01T14:00:00-00:00,2016-08-01T15:00:00-00:00,2016-08-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,32.25356,3
2016-08-01T16:00:00-00:00,2016-08-01T17:00:00-00:00,2016-08-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,31.16562,3
2016-08-01T23:00:00-00:00,2016-08-02T00:00:00-00:00,2016-08-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCE,LMP_ENE_PRC,0096WD_7_N001,ALL,1,50.36726,3
2016-08-02T03:00:00-00:00,2016-08-02T04:00:00-00:00,2016-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.97887,4
2016-08-01T19:00:00-00:00,2016-08-01T20:00:00-00:00,2016-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.60216,4
2016-08-01T20:00:00-00:00,2016-08-01T21:00:00-00:00,2016-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.88193,4
2016-08-02T02:00:00-00:00,2016-08-02T03:00:00-00:00,2016-08-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.14156,4
2016-08-01T10:00:00-00:00,2016-08-01T11:00:00-00:00,2016-08-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.6335,4
2016-08-01T13:00:00-00:00,2016-08-01T14:00:00-00:00,2016-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.67231,4
2016-08-02T00:00:00-00:00,2016-08-02T01:00:00-00:00,2016-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.86081,4
2016-08-02T05:00:00-00:00,2016-08-02T06:00:00-00:00,2016-08-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.83821,4
2016-08-02T06:00:00-00:00,2016-08-02T07:00:00-00:00,2016-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.64086,4
2016-08-01T09:00:00-00:00,2016-08-01T10:00:00-00:00,2016-08-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.63516,4
2016-08-01T11:00:00-00:00,2016-08-01T12:00:00-00:00,2016-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.59227,4
2016-08-01T12:00:00-00:00,2016-08-01T13:00:00-00:00,2016-08-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.60013,4
2016-08-01T15:00:00-00:00,2016-08-01T16:00:00-00:00,2016-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.10078,4
2016-08-01T23:00:00-00:00,2016-08-02T00:00:00-00:00,2016-08-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-2.14565,4
