Year,Month,Day,Start_Hour,End_Hour,Price
2016.0,9.0,11.0,0.0,1.0,42.68044
2016.0,9.0,11.0,1.0,2.0,56.52296
2016.0,9.0,11.0,2.0,3.0,58.06238
2016.0,9.0,11.0,3.0,4.0,45.55343
2016.0,9.0,11.0,4.0,5.0,37.47416
2016.0,9.0,11.0,5.0,6.0,34.55592
2016.0,9.0,11.0,6.0,7.0,32.42992
2016.0,9.0,11.0,7.0,8.0,29.22504
2016.0,9.0,11.0,8.0,9.0,28.00036
2016.0,9.0,11.0,9.0,10.0,28.91921
2016.0,9.0,11.0,10.0,11.0,28.31181
2016.0,9.0,11.0,11.0,12.0,29.00795
2016.0,9.0,11.0,12.0,13.0,29.9819
2016.0,9.0,11.0,13.0,14.0,29.76558
2016.0,9.0,11.0,14.0,15.0,27.09167
2016.0,9.0,11.0,15.0,16.0,21.11053
2016.0,9.0,11.0,16.0,17.0,16.56108
2016.0,9.0,11.0,17.0,18.0,18.89744
2016.0,9.0,11.0,18.0,19.0,21.74462
2016.0,9.0,11.0,19.0,20.0,24.75831
2016.0,9.0,11.0,20.0,21.0,26.28801
2016.0,9.0,11.0,21.0,22.0,25.63704
2016.0,9.0,11.0,22.0,23.0,28.47851
2016.0,9.0,11.0,23.0,0.0,30.83857
