,Year,Month,Day,Start_Hour,End_Hour,Price
0,2016.0,9.0,1.0,15.0,16.0,26.37471
1,2016.0,9.0,1.0,19.0,20.0,27.08626
2,2016.0,9.0,2.0,4.0,5.0,37.7194
3,2016.0,9.0,1.0,16.0,17.0,22.12491
4,2016.0,9.0,1.0,17.0,18.0,22.29904
5,2016.0,9.0,2.0,1.0,2.0,59.29721
6,2016.0,9.0,1.0,14.0,15.0,32.19929
7,2016.0,9.0,1.0,21.0,22.0,31.44232
8,2016.0,9.0,1.0,23.0,0.0,39.3954
9,2016.0,9.0,2.0,5.0,6.0,35.41793
10,2016.0,9.0,2.0,6.0,7.0,31.70278
11,2016.0,9.0,1.0,13.0,14.0,33.26444
12,2016.0,9.0,1.0,22.0,23.0,37.18843
13,2016.0,9.0,1.0,10.0,11.0,28.1286
14,2016.0,9.0,1.0,12.0,13.0,32.91041
15,2016.0,9.0,1.0,20.0,21.0,28.88242
16,2016.0,9.0,1.0,8.0,9.0,26.06493
17,2016.0,9.0,1.0,11.0,12.0,28.61533
18,2016.0,9.0,2.0,0.0,1.0,49.30593
19,2016.0,9.0,2.0,2.0,3.0,57.62327
20,2016.0,9.0,2.0,3.0,4.0,57.55614
21,2016.0,9.0,1.0,7.0,8.0,28.30416
22,2016.0,9.0,1.0,9.0,10.0,28.07138
23,2016.0,9.0,1.0,18.0,19.0,26.88195
24,2016.0,9.0,2.0,15.0,16.0,27.70329
25,2016.0,9.0,2.0,17.0,18.0,26.83415
26,2016.0,9.0,3.0,5.0,6.0,34.19631
27,2016.0,9.0,2.0,12.0,13.0,31.22171
28,2016.0,9.0,2.0,16.0,17.0,26.50574
29,2016.0,9.0,3.0,0.0,1.0,36.6062
30,2016.0,9.0,3.0,1.0,2.0,46.5584
31,2016.0,9.0,2.0,8.0,9.0,27.64702
32,2016.0,9.0,2.0,11.0,12.0,28.33513
33,2016.0,9.0,2.0,10.0,11.0,27.75511
34,2016.0,9.0,2.0,18.0,19.0,27.64598
35,2016.0,9.0,2.0,23.0,0.0,33.63727
36,2016.0,9.0,3.0,2.0,3.0,45.61661
37,2016.0,9.0,3.0,4.0,5.0,35.53076
38,2016.0,9.0,2.0,14.0,15.0,31.67792
39,2016.0,9.0,2.0,19.0,20.0,27.93294
40,2016.0,9.0,2.0,9.0,10.0,27.62404
41,2016.0,9.0,2.0,13.0,14.0,32.71118
42,2016.0,9.0,3.0,6.0,7.0,30.41386
43,2016.0,9.0,2.0,7.0,8.0,28.56615
44,2016.0,9.0,2.0,20.0,21.0,28.6977
45,2016.0,9.0,2.0,21.0,22.0,30.29685
46,2016.0,9.0,2.0,22.0,23.0,31.62215
47,2016.0,9.0,3.0,3.0,4.0,42.9475
