,Price,Frequency
0,19.30206,98.9690721649
1,20.10456,97.9381443299
2,20.64824,96.9072164948
3,20.82238,95.8762886598
4,20.91494,94.8453608247
5,21.05448,93.8144329897
6,21.19733,92.7835051546
7,21.45786,91.7525773196
8,21.93809,90.7216494845
9,21.94057,89.6907216495
10,22.05921,88.6597938144
11,22.06202,87.6288659794
12,22.09044,86.5979381443
13,22.09614,85.5670103093
14,22.13347,84.5360824742
15,22.22092,83.5051546392
16,22.35161,82.4742268041
17,22.58881,81.4432989691
18,22.63338,80.412371134
19,22.74725,79.381443299
20,23.00719,78.3505154639
21,23.03391,77.3195876289
22,23.20907,76.2886597938
23,23.20956,75.2577319588
24,23.37278,74.2268041237
25,23.4602,73.1958762887
26,23.68421,72.1649484536
27,23.90537,71.1340206186
28,23.99955,70.1030927835
29,24.17714,69.0721649485
30,24.17913,68.0412371134
31,24.18805,67.0103092784
32,24.18819,65.9793814433
33,24.18824,64.9484536082
34,24.32919,63.9175257732
35,24.4951,62.8865979381
36,24.49522,61.8556701031
37,24.50603,60.824742268
38,24.80874,59.793814433
39,24.81447,58.7628865979
40,24.81471,57.7319587629
41,24.81564,56.7010309278
42,25.17356,55.6701030928
43,25.19396,54.6391752577
44,25.20244,53.6082474227
45,25.25858,52.5773195876
46,25.36397,51.5463917526
47,25.55388,50.5154639175
48,25.56586,49.4845360825
49,25.56846,48.4536082474
50,25.56947,47.4226804124
51,25.5703,46.3917525773
52,25.89931,45.3608247423
53,25.9373,44.3298969072
54,26.0971,43.2989690722
55,26.1909,42.2680412371
56,26.40555,41.2371134021
57,26.46072,40.206185567
58,26.75646,39.175257732
59,26.97272,38.1443298969
60,27.16004,37.1134020619
61,27.21547,36.0824742268
62,27.30885,35.0515463918
63,27.84795,34.0206185567
64,27.93498,32.9896907216
65,28.01958,31.9587628866
66,28.06049,30.9278350515
67,28.10275,29.8969072165
68,28.37339,28.8659793814
69,28.81893,27.8350515464
70,29.20338,26.8041237113
71,29.42192,25.7731958763
72,29.47201,24.7422680412
73,30.11501,23.7113402062
74,30.85139,22.6804123711
75,31.7703,21.6494845361
76,31.96846,20.618556701
77,32.41452,19.587628866
78,32.69413,18.5567010309
79,33.3443,17.5257731959
80,33.34466,16.4948453608
81,34.65974,15.4639175258
82,34.98396,14.4329896907
83,37.86315,13.4020618557
84,38.50063,12.3711340206
85,38.72431,11.3402061856
86,38.78049,10.3092783505
87,40.74275,9.27835051546
88,40.87168,8.24742268041
89,41.25191,7.21649484536
90,41.34869,6.18556701031
91,42.97782,5.15463917526
92,43.10846,4.12371134021
93,46.91568,3.09278350515
94,53.39638,2.0618556701
95,59.31301,1.03092783505
