,Price,Frequency
0,14.49851,99.8657718121
1,16.59611,99.7315436242
2,17.67572,99.5973154362
3,18.75212,99.4630872483
4,20.1558,99.3288590604
5,20.29665,99.1946308725
6,20.4916,99.0604026846
7,21.37943,98.9261744966
8,21.74357,98.7919463087
9,22.04218,98.6577181208
10,22.19136,98.5234899329
11,22.41991,98.389261745
12,22.49458,98.255033557
13,23.1648,98.1208053691
14,23.28155,97.9865771812
15,23.32331,97.8523489933
16,23.5243,97.7181208054
17,23.56605,97.5838926174
18,23.63188,97.4496644295
19,23.90529,97.3154362416
20,24.06229,97.1812080537
21,24.29541,97.0469798658
22,24.31573,96.9127516779
23,24.3683,96.7785234899
24,24.42531,96.644295302
25,24.50965,96.5100671141
26,24.51386,96.3758389262
27,24.67596,96.2416107383
28,24.70099,96.1073825503
29,24.77376,95.9731543624
30,24.84072,95.8389261745
31,24.89399,95.7046979866
32,24.98892,95.5704697987
33,24.99767,95.4362416107
34,25.02405,95.3020134228
35,25.02869,95.1677852349
36,25.12988,95.033557047
37,25.15363,94.8993288591
38,25.20999,94.7651006711
39,25.29228,94.6308724832
40,25.37537,94.4966442953
41,25.38194,94.3624161074
42,25.38235,94.2281879195
43,25.39777,94.0939597315
44,25.40987,93.9597315436
45,25.41611,93.8255033557
46,25.4373,93.6912751678
47,25.45225,93.5570469799
48,25.45791,93.4228187919
49,25.49163,93.288590604
50,25.53258,93.1543624161
51,25.56979,93.0201342282
52,25.58593,92.8859060403
53,25.60046,92.7516778523
54,25.6506,92.6174496644
55,25.67147,92.4832214765
56,25.67254,92.3489932886
57,25.68529,92.2147651007
58,25.68556,92.0805369128
59,25.73161,91.9463087248
60,25.7431,91.8120805369
61,25.77219,91.677852349
62,25.83588,91.5436241611
63,25.83702,91.4093959732
64,25.84703,91.2751677852
65,25.85545,91.1409395973
66,25.87277,91.0067114094
67,25.89738,90.8724832215
68,25.97465,90.7382550336
69,25.9948,90.6040268456
70,26.12019,90.4697986577
71,26.12339,90.3355704698
72,26.13104,90.2013422819
73,26.13245,90.067114094
74,26.14597,89.932885906
75,26.15522,89.7986577181
76,26.16496,89.6644295302
77,26.16999,89.5302013423
78,26.19163,89.3959731544
79,26.19646,89.2617449664
80,26.22346,89.1275167785
81,26.26756,88.9932885906
82,26.26778,88.8590604027
83,26.31616,88.7248322148
84,26.3238,88.5906040268
85,26.32891,88.4563758389
86,26.36318,88.322147651
87,26.37755,88.1879194631
88,26.3824,88.0536912752
89,26.38586,87.9194630872
90,26.42551,87.7852348993
91,26.43187,87.6510067114
92,26.45527,87.5167785235
93,26.47021,87.3825503356
94,26.493,87.2483221477
95,26.56928,87.1140939597
96,26.57105,86.9798657718
97,26.57588,86.8456375839
98,26.57603,86.711409396
99,26.66331,86.5771812081
100,26.66567,86.4429530201
101,26.67446,86.3087248322
102,26.74991,86.1744966443
103,26.75309,86.0402684564
104,26.76407,85.9060402685
105,26.76699,85.7718120805
106,26.78503,85.6375838926
107,26.82954,85.5033557047
108,26.85516,85.3691275168
109,26.92,85.2348993289
110,26.92648,85.1006711409
111,26.92811,84.966442953
112,26.96684,84.8322147651
113,26.97228,84.6979865772
114,26.9763,84.5637583893
115,26.99641,84.4295302013
116,26.99811,84.2953020134
117,27.03077,84.1610738255
118,27.03179,84.0268456376
119,27.03762,83.8926174497
120,27.06008,83.7583892617
121,27.06883,83.6241610738
122,27.07149,83.4899328859
123,27.07777,83.355704698
124,27.0779,83.2214765101
125,27.09659,83.0872483221
126,27.09938,82.9530201342
127,27.16724,82.8187919463
128,27.16898,82.6845637584
129,27.1789,82.5503355705
130,27.20693,82.4161073826
131,27.24242,82.2818791946
132,27.28836,82.1476510067
133,27.31495,82.0134228188
134,27.31512,81.8791946309
135,27.36766,81.744966443
136,27.39298,81.610738255
137,27.39774,81.4765100671
138,27.40708,81.3422818792
139,27.40753,81.2080536913
140,27.4079,81.0738255034
141,27.42152,80.9395973154
142,27.44049,80.8053691275
143,27.45206,80.6711409396
144,27.46838,80.5369127517
145,27.4728,80.4026845638
146,27.47622,80.2684563758
147,27.48129,80.1342281879
148,27.49044,80.0
149,27.49227,79.8657718121
150,27.49744,79.7315436242
151,27.51846,79.5973154362
152,27.53115,79.4630872483
153,27.54881,79.3288590604
154,27.56674,79.1946308725
155,27.57147,79.0604026846
156,27.57335,78.9261744966
157,27.57994,78.7919463087
158,27.61357,78.6577181208
159,27.61631,78.5234899329
160,27.63514,78.389261745
161,27.63712,78.255033557
162,27.64027,78.1208053691
163,27.65976,77.9865771812
164,27.66415,77.8523489933
165,27.68019,77.7181208054
166,27.68307,77.5838926174
167,27.73067,77.4496644295
168,27.76706,77.3154362416
169,27.77515,77.1812080537
170,27.80327,77.0469798658
171,27.83564,76.9127516779
172,27.84229,76.7785234899
173,27.85159,76.644295302
