,Price,Frequency
0,15.60859,99.864498645
1,16.46267,99.72899729
2,17.7941,99.593495935
3,18.13742,99.4579945799
4,18.19375,99.3224932249
5,18.3877,99.1869918699
6,19.06678,99.0514905149
7,19.13241,98.9159891599
8,19.52213,98.7804878049
9,19.76103,98.6449864499
10,20.10247,98.5094850949
11,20.26601,98.3739837398
12,20.30808,98.2384823848
13,20.57956,98.1029810298
14,20.8539,97.9674796748
15,20.86053,97.8319783198
16,21.11906,97.6964769648
17,21.182,97.5609756098
18,21.24935,97.4254742547
19,21.40491,97.2899728997
20,21.62953,97.1544715447
21,22.00817,97.0189701897
22,22.08324,96.8834688347
23,22.12465,96.7479674797
24,22.15154,96.6124661247
25,22.39157,96.4769647696
26,22.64795,96.3414634146
27,22.64939,96.2059620596
28,22.67504,96.0704607046
29,22.72639,95.9349593496
30,22.78569,95.7994579946
31,22.98855,95.6639566396
32,23.02414,95.5284552846
33,23.06009,95.3929539295
34,23.0603,95.2574525745
35,23.24055,95.1219512195
36,23.25248,94.9864498645
37,23.26168,94.8509485095
38,23.32768,94.7154471545
39,23.42976,94.5799457995
40,23.45009,94.4444444444
41,23.60418,94.3089430894
42,23.61998,94.1734417344
43,23.6266,94.0379403794
44,23.64265,93.9024390244
45,23.64641,93.7669376694
46,23.68104,93.6314363144
47,23.69733,93.4959349593
48,23.7282,93.3604336043
49,23.73419,93.2249322493
50,23.74576,93.0894308943
51,23.85527,92.9539295393
52,23.92162,92.8184281843
53,23.93195,92.6829268293
54,23.96344,92.5474254743
55,23.98202,92.4119241192
56,24.00198,92.2764227642
57,24.03275,92.1409214092
58,24.04402,92.0054200542
59,24.04491,91.8699186992
60,24.05083,91.7344173442
61,24.07171,91.5989159892
62,24.07642,91.4634146341
63,24.10727,91.3279132791
64,24.16717,91.1924119241
65,24.17955,91.0569105691
66,24.1879,90.9214092141
67,24.1886,90.7859078591
68,24.194,90.6504065041
69,24.19531,90.5149051491
70,24.19639,90.379403794
71,24.21101,90.243902439
72,24.24315,90.108401084
73,24.2481,89.972899729
74,24.25358,89.837398374
75,24.25812,89.701897019
76,24.27779,89.566395664
77,24.28649,89.4308943089
78,24.29309,89.2953929539
79,24.37015,89.1598915989
80,24.37862,89.0243902439
81,24.38394,88.8888888889
82,24.4139,88.7533875339
83,24.44797,88.6178861789
84,24.45586,88.4823848238
85,24.46289,88.3468834688
86,24.46401,88.2113821138
87,24.48561,88.0758807588
88,24.50096,87.9403794038
89,24.51316,87.8048780488
90,24.54374,87.6693766938
91,24.59958,87.5338753388
92,24.62039,87.3983739837
93,24.63003,87.2628726287
94,24.63188,87.1273712737
95,24.65191,86.9918699187
96,24.67724,86.8563685637
97,24.67776,86.7208672087
98,24.71024,86.5853658537
99,24.74555,86.4498644986
100,24.75008,86.3143631436
101,24.75294,86.1788617886
102,24.81108,86.0433604336
103,24.82638,85.9078590786
104,24.82887,85.7723577236
105,24.83616,85.6368563686
106,24.86677,85.5013550136
107,24.86812,85.3658536585
108,24.88635,85.2303523035
109,24.89046,85.0948509485
110,24.9363,84.9593495935
111,24.93714,84.8238482385
112,24.9542,84.6883468835
113,24.96765,84.5528455285
114,24.97392,84.4173441734
115,24.9741,84.2818428184
116,24.98002,84.1463414634
117,24.98857,84.0108401084
118,24.99538,83.8753387534
119,25.01544,83.7398373984
120,25.03841,83.6043360434
121,25.08769,83.4688346883
122,25.1212,83.3333333333
123,25.13522,83.1978319783
124,25.14385,83.0623306233
125,25.16711,82.9268292683
126,25.18613,82.7913279133
127,25.19145,82.6558265583
128,25.19736,82.5203252033
129,25.19901,82.3848238482
130,25.2286,82.2493224932
131,25.23578,82.1138211382
132,25.25905,81.9783197832
133,25.26289,81.8428184282
134,25.26905,81.7073170732
135,25.26936,81.5718157182
136,25.27558,81.4363143631
137,25.27616,81.3008130081
138,25.30221,81.1653116531
139,25.32944,81.0298102981
140,25.33661,80.8943089431
141,25.35167,80.7588075881
142,25.35895,80.6233062331
143,25.37116,80.487804878
144,25.38532,80.352303523
145,25.40536,80.216802168
146,25.41357,80.081300813
147,25.44956,79.945799458
148,25.45783,79.810298103
149,25.46077,79.674796748
150,25.46945,79.539295393
151,25.48819,79.4037940379
152,25.5067,79.2682926829
153,25.50904,79.1327913279
154,25.53119,78.9972899729
155,25.55797,78.8617886179
156,25.56718,78.7262872629
157,25.57242,78.5907859079
158,25.5932,78.4552845528
159,25.61391,78.3197831978
160,25.64141,78.1842818428
161,25.66612,78.0487804878
162,25.67173,77.9132791328
163,25.69083,77.7777777778
164,25.72136,77.6422764228
165,25.72362,77.5067750678
166,25.73114,77.3712737127
167,25.75416,77.2357723577
168,25.75993,77.1002710027
169,25.79183,76.9647696477
170,25.79825,76.8292682927
171,25.801,76.6937669377
172,25.84269,76.5582655827
173,25.85595,76.4227642276
174,25.88279,76.2872628726
175,25.88576,76.1517615176
176,25.88644,76.0162601626
177,25.89255,75.8807588076
178,25.92661,75.7452574526
179,25.94949,75.6097560976
180,25.96703,75.4742547425
181,25.97123,75.3387533875
182,25.98252,75.2032520325
183,26.00531,75.0677506775
184,26.01876,74.9322493225
185,26.02613,74.7967479675
186,26.04586,74.6612466125
187,26.05815,74.5257452575
188,26.07119,74.3902439024
189,26.08219,74.2547425474
190,26.08389,74.1192411924
191,26.08454,73.9837398374
192,26.09314,73.8482384824
193,26.10608,73.7127371274
194,26.11016,73.5772357724
195,26.13147,73.4417344173
196,26.13873,73.3062330623
197,26.15488,73.1707317073
198,26.16069,73.0352303523
199,26.16105,72.8997289973
200,26.182,72.7642276423
201,26.21215,72.6287262873
202,26.22386,72.4932249322
203,26.31019,72.3577235772
204,26.33603,72.2222222222
205,26.33637,72.0867208672
206,26.35142,71.9512195122
207,26.36171,71.8157181572
208,26.36712,71.6802168022
209,26.37105,71.5447154472
210,26.37964,71.4092140921
211,26.3925,71.2737127371
212,26.4193,71.1382113821
213,26.44897,71.0027100271
214,26.4756,70.8672086721
215,26.47878,70.7317073171
216,26.49091,70.5962059621
217,26.58133,70.460704607
218,26.61927,70.325203252
219,26.63492,70.189701897
220,26.63741,70.054200542
221,26.64713,69.918699187
222,26.65634,69.783197832
223,26.65975,69.647696477
224,26.68426,69.512195122
225,26.6878,69.3766937669
226,26.6926,69.2411924119
227,26.69349,69.1056910569
228,26.74252,68.9701897019
229,26.75985,68.8346883469
230,26.78302,68.6991869919
231,26.803,68.5636856369
232,26.82024,68.4281842818
233,26.82904,68.2926829268
234,26.85372,68.1571815718
235,26.85633,68.0216802168
236,26.87327,67.8861788618
237,26.89409,67.7506775068
238,26.93093,67.6151761518
239,26.95917,67.4796747967
240,26.96726,67.3441734417
241,26.98328,67.2086720867
242,27.02053,67.0731707317
243,27.03843,66.9376693767
244,27.0417,66.8021680217
245,27.04476,66.6666666667
246,27.08169,66.5311653117
247,27.12486,66.3956639566
248,27.15241,66.2601626016
249,27.18586,66.1246612466
250,27.2154,65.9891598916
251,27.22558,65.8536585366
252,27.22961,65.7181571816
253,27.23848,65.5826558266
254,27.25561,65.4471544715
255,27.26955,65.3116531165
256,27.2851,65.1761517615
257,27.28551,65.0406504065
258,27.28654,64.9051490515
259,27.29796,64.7696476965
260,27.30604,64.6341463415
261,27.32387,64.4986449864
262,27.36285,64.3631436314
263,27.36698,64.2276422764
264,27.37237,64.0921409214
265,27.3973,63.9566395664
266,27.42995,63.8211382114
267,27.43437,63.6856368564
268,27.47034,63.5501355014
269,27.47574,63.4146341463
270,27.48332,63.2791327913
271,27.52234,63.1436314363
272,27.55138,63.0081300813
273,27.55723,62.8726287263
274,27.56926,62.7371273713
275,27.56975,62.6016260163
276,27.59572,62.4661246612
277,27.6025,62.3306233062
278,27.65381,62.1951219512
279,27.70665,62.0596205962
280,27.7153,61.9241192412
281,27.72335,61.7886178862
282,27.72537,61.6531165312
283,27.74614,61.5176151762
284,27.75433,61.3821138211
285,27.75986,61.2466124661
286,27.76445,61.1111111111
287,27.77686,60.9756097561
288,27.78664,60.8401084011
289,27.79868,60.7046070461
290,27.80729,60.5691056911
291,27.82115,60.433604336
292,27.83705,60.298102981
293,27.85447,60.162601626
294,27.86118,60.027100271
295,27.90121,59.891598916
296,27.97726,59.756097561
297,27.99826,59.620596206
298,28.02933,59.4850948509
299,28.0301,59.3495934959
300,28.04935,59.2140921409
301,28.05214,59.0785907859
302,28.05872,58.9430894309
303,28.14915,58.8075880759
304,28.181,58.6720867209
305,28.18834,58.5365853659
306,28.2004,58.4010840108
307,28.24375,58.2655826558
308,28.2564,58.1300813008
309,28.26423,57.9945799458
310,28.26699,57.8590785908
311,28.26975,57.7235772358
312,28.2824,57.5880758808
313,28.29285,57.4525745257
314,28.29538,57.3170731707
315,28.29879,57.1815718157
316,28.30438,57.0460704607
317,28.31178,56.9105691057
318,28.32277,56.7750677507
319,28.37341,56.6395663957
320,28.43462,56.5040650407
321,28.4441,56.3685636856
322,28.48233,56.2330623306
323,28.50067,56.0975609756
324,28.54279,55.9620596206
325,28.5573,55.8265582656
326,28.57408,55.6910569106
327,28.58641,55.5555555556
328,28.59092,55.4200542005
329,28.64699,55.2845528455
330,28.65019,55.1490514905
331,28.72088,55.0135501355
332,28.72922,54.8780487805
333,28.72925,54.7425474255
334,28.75215,54.6070460705
335,28.79716,54.4715447154
336,28.80627,54.3360433604
337,28.80977,54.2005420054
338,28.85773,54.0650406504
339,28.88503,53.9295392954
340,28.90008,53.7940379404
341,28.94188,53.6585365854
342,28.97678,53.5230352304
343,28.98013,53.3875338753
344,29.00598,53.2520325203
345,29.06282,53.1165311653
346,29.1458,52.9810298103
347,29.14694,52.8455284553
348,29.19563,52.7100271003
349,29.20294,52.5745257453
350,29.21595,52.4390243902
351,29.2268,52.3035230352
352,29.29594,52.1680216802
353,29.2993,52.0325203252
354,29.30398,51.8970189702
355,29.31213,51.7615176152
356,29.32584,51.6260162602
357,29.32909,51.4905149051
358,29.34232,51.3550135501
359,29.34476,51.2195121951
360,29.43524,51.0840108401
361,29.44174,50.9485094851
362,29.44931,50.8130081301
363,29.46077,50.6775067751
364,29.50952,50.5420054201
365,29.52222,50.406504065
366,29.52382,50.27100271
367,29.56969,50.135501355
368,29.65412,50.0
369,29.70715,49.864498645
370,29.72595,49.72899729
371,29.76079,49.593495935
372,29.781,49.4579945799
373,29.78522,49.3224932249
374,29.8159,49.1869918699
375,29.81915,49.0514905149
376,29.82381,48.9159891599
377,29.92089,48.7804878049
378,30.0647,48.6449864499
379,30.06536,48.5094850949
380,30.11627,48.3739837398
381,30.16916,48.2384823848
382,30.22388,48.1029810298
383,30.25437,47.9674796748
384,30.31327,47.8319783198
385,30.35943,47.6964769648
386,30.35981,47.5609756098
387,30.41821,47.4254742547
388,30.46161,47.2899728997
389,30.54268,47.1544715447
390,30.56983,47.0189701897
391,30.61182,46.8834688347
392,30.61962,46.7479674797
393,30.65756,46.6124661247
394,30.67424,46.4769647696
395,30.70656,46.3414634146
396,30.80831,46.2059620596
397,30.89119,46.0704607046
398,30.89363,45.9349593496
399,30.93012,45.7994579946
400,30.95797,45.6639566396
401,31.01357,45.5284552846
402,31.17172,45.3929539295
403,31.17263,45.2574525745
404,31.20122,45.1219512195
405,31.20395,44.9864498645
406,31.25637,44.8509485095
407,31.29308,44.7154471545
408,31.29674,44.5799457995
409,31.33374,44.4444444444
410,31.33819,44.3089430894
411,31.34537,44.1734417344
412,31.36837,44.0379403794
413,31.43431,43.9024390244
414,31.49759,43.7669376694
415,31.50181,43.6314363144
416,31.51019,43.4959349593
417,31.55264,43.3604336043
418,31.59401,43.2249322493
419,31.7638,43.0894308943
420,31.78318,42.9539295393
421,31.79744,42.8184281843
422,31.82049,42.6829268293
423,31.83989,42.5474254743
424,31.85247,42.4119241192
425,31.8803,42.2764227642
426,31.88053,42.1409214092
427,31.92187,42.0054200542
428,31.92257,41.8699186992
429,32.04462,41.7344173442
430,32.13103,41.5989159892
431,32.24375,41.4634146341
432,32.26413,41.3279132791
433,32.31167,41.1924119241
434,32.34582,41.0569105691
435,32.35712,40.9214092141
436,32.39277,40.7859078591
437,32.41553,40.6504065041
438,32.47531,40.5149051491
439,32.49745,40.379403794
440,32.53803,40.243902439
441,32.5641,40.108401084
442,32.57313,39.972899729
443,32.64399,39.837398374
444,32.67233,39.701897019
445,32.79875,39.566395664
446,32.81287,39.4308943089
447,32.81705,39.2953929539
448,32.8495,39.1598915989
449,32.85627,39.0243902439
450,32.93439,38.8888888889
451,32.96048,38.7533875339
452,32.97837,38.6178861789
453,33.05747,38.4823848238
454,33.078,38.3468834688
455,33.08128,38.2113821138
456,33.1052,38.0758807588
457,33.15512,37.9403794038
458,33.15748,37.8048780488
459,33.19805,37.6693766938
460,33.28339,37.5338753388
461,33.35225,37.3983739837
462,33.45147,37.2628726287
463,33.56084,37.1273712737
464,33.6092,36.9918699187
465,33.63164,36.8563685637
466,33.69614,36.7208672087
467,33.72585,36.5853658537
468,33.73229,36.4498644986
469,33.83163,36.3143631436
470,33.8536,36.1788617886
471,33.87403,36.0433604336
472,33.9947,35.9078590786
473,34.03354,35.7723577236
474,34.08404,35.6368563686
475,34.08787,35.5013550136
476,34.14101,35.3658536585
477,34.19583,35.2303523035
478,34.35997,35.0948509485
479,34.40276,34.9593495935
480,34.49043,34.8238482385
481,34.53567,34.6883468835
482,34.54721,34.5528455285
483,34.57531,34.4173441734
484,34.76847,34.2818428184
485,34.79599,34.1463414634
486,34.79802,34.0108401084
487,34.8807,33.8753387534
488,34.96977,33.7398373984
489,35.02055,33.6043360434
490,35.05264,33.4688346883
491,35.05483,33.3333333333
492,35.09176,33.1978319783
493,35.13126,33.0623306233
494,35.1519,32.9268292683
495,35.29192,32.7913279133
496,35.30347,32.6558265583
497,35.32556,32.5203252033
498,35.32885,32.3848238482
499,35.33558,32.2493224932
500,35.37039,32.1138211382
501,35.39836,31.9783197832
502,35.41445,31.8428184282
503,35.51228,31.7073170732
504,35.57182,31.5718157182
505,35.60694,31.4363143631
506,35.64811,31.3008130081
507,35.66152,31.1653116531
508,35.74777,31.0298102981
509,35.76225,30.8943089431
510,35.77628,30.7588075881
511,35.85307,30.6233062331
512,35.94896,30.487804878
513,36.04851,30.352303523
514,36.27575,30.216802168
515,36.4093,30.081300813
516,36.43434,29.945799458
517,36.61671,29.810298103
518,36.76963,29.674796748
519,36.83349,29.539295393
520,36.95443,29.4037940379
521,37.00845,29.2682926829
522,37.40736,29.1327913279
523,37.43651,28.9972899729
524,37.43881,28.8617886179
525,37.4792,28.7262872629
526,37.48968,28.5907859079
527,37.53754,28.4552845528
528,37.56719,28.3197831978
529,37.73226,28.1842818428
530,37.74265,28.0487804878
531,37.80852,27.9132791328
532,37.81852,27.7777777778
533,38.33913,27.6422764228
534,38.3601,27.5067750678
535,38.38495,27.3712737127
536,38.41071,27.2357723577
537,38.48654,27.1002710027
538,38.51975,26.9647696477
539,38.56454,26.8292682927
540,38.6055,26.6937669377
541,38.62921,26.5582655827
542,38.80685,26.4227642276
543,38.85812,26.2872628726
544,38.87,26.1517615176
545,38.9194,26.0162601626
546,38.99522,25.8807588076
547,39.16111,25.7452574526
548,39.27105,25.6097560976
549,39.27244,25.4742547425
550,39.41679,25.3387533875
551,39.43564,25.2032520325
552,39.4452,25.0677506775
553,39.54428,24.9322493225
554,39.56931,24.7967479675
555,39.58297,24.6612466125
556,39.60187,24.5257452575
557,39.6191,24.3902439024
558,39.75104,24.2547425474
559,39.8156,24.1192411924
560,39.82367,23.9837398374
561,40.05787,23.8482384824
562,40.1856,23.7127371274
563,40.23714,23.5772357724
564,40.2571,23.4417344173
565,40.28522,23.3062330623
566,40.33413,23.1707317073
567,40.53317,23.0352303523
568,40.53783,22.8997289973
569,40.73763,22.7642276423
570,40.74047,22.6287262873
571,40.78078,22.4932249322
572,40.78583,22.3577235772
573,40.84551,22.2222222222
574,40.90646,22.0867208672
575,41.16378,21.9512195122
576,41.33005,21.8157181572
577,41.40181,21.6802168022
578,41.40721,21.5447154472
579,41.46338,21.4092140921
580,41.62611,21.2737127371
581,41.645,21.1382113821
582,41.67353,21.0027100271
583,42.0478,20.8672086721
584,42.11753,20.7317073171
585,42.17655,20.5962059621
586,42.24028,20.460704607
587,42.3643,20.325203252
588,42.3723,20.189701897
589,42.38077,20.054200542
590,42.48842,19.918699187
591,42.49524,19.783197832
592,42.53569,19.647696477
593,42.60731,19.512195122
594,42.63423,19.3766937669
595,43.02705,19.2411924119
596,43.32187,19.1056910569
597,43.48417,18.9701897019
598,43.60386,18.8346883469
599,43.76554,18.6991869919
600,44.30917,18.5636856369
601,44.37674,18.4281842818
602,44.42496,18.2926829268
603,44.52545,18.1571815718
604,44.538,18.0216802168
605,44.63747,17.8861788618
606,44.8063,17.7506775068
607,44.92169,17.6151761518
608,44.97057,17.4796747967
609,45.33064,17.3441734417
610,45.52013,17.2086720867
611,45.55854,17.0731707317
612,45.69332,16.9376693767
613,45.73812,16.8021680217
614,46.24598,16.6666666667
615,46.39596,16.5311653117
616,46.4069,16.3956639566
617,46.47496,16.2601626016
618,46.53246,16.1246612466
619,46.57604,15.9891598916
620,46.7957,15.8536585366
621,46.81396,15.7181571816
622,46.85797,15.5826558266
623,46.94292,15.4471544715
624,47.52683,15.3116531165
625,47.74658,15.1761517615
626,47.85243,15.0406504065
627,48.30754,14.9051490515
628,48.37355,14.7696476965
629,48.37623,14.6341463415
630,48.96079,14.4986449864
631,49.33667,14.3631436314
632,49.54488,14.2276422764
633,49.61236,14.0921409214
634,49.67057,13.9566395664
635,50.51569,13.8211382114
636,50.55366,13.6856368564
637,50.5678,13.5501355014
638,50.85282,13.4146341463
639,51.63911,13.2791327913
640,51.79296,13.1436314363
641,52.24291,13.0081300813
642,52.27177,12.8726287263
643,52.89223,12.7371273713
644,52.9362,12.6016260163
645,53.15275,12.4661246612
646,53.24654,12.3306233062
647,53.69248,12.1951219512
648,53.74598,12.0596205962
649,54.23872,11.9241192412
650,54.28932,11.7886178862
651,54.60875,11.6531165312
652,54.85931,11.5176151762
653,55.02928,11.3821138211
654,55.16188,11.2466124661
655,55.64729,11.1111111111
656,55.65887,10.9756097561
657,55.67983,10.8401084011
658,55.98633,10.7046070461
659,56.12705,10.5691056911
660,56.3528,10.433604336
661,56.89977,10.298102981
662,57.14732,10.162601626
663,58.67414,10.027100271
664,58.82302,9.89159891599
665,59.12692,9.75609756098
666,59.61062,9.62059620596
667,59.69088,9.48509485095
668,60.7985,9.34959349593
669,61.38116,9.21409214092
670,61.4962,9.07859078591
671,61.68917,8.94308943089
672,61.81462,8.80758807588
673,62.37038,8.67208672087
674,63.17183,8.53658536585
675,63.51531,8.40108401084
676,63.54546,8.26558265583
677,63.80359,8.13008130081
678,65.41662,7.9945799458
679,65.41839,7.85907859079
680,66.22377,7.72357723577
681,66.37345,7.58807588076
682,68.39789,7.45257452575
683,69.148,7.31707317073
684,69.35562,7.18157181572
685,70.04407,7.0460704607
686,70.16606,6.91056910569
687,71.66648,6.77506775068
688,72.79227,6.63956639566
689,73.6331,6.50406504065
690,73.78195,6.36856368564
691,75.3378,6.23306233062
692,75.49384,6.09756097561
693,76.80922,5.9620596206
694,77.72552,5.82655826558
695,79.41189,5.69105691057
696,80.04691,5.55555555556
697,80.74307,5.42005420054
698,81.42899,5.28455284553
699,81.46221,5.14905149051
700,83.74647,5.0135501355
701,84.59028,4.87804878049
702,85.25188,4.74254742547
703,88.09355,4.60704607046
704,89.32402,4.47154471545
705,89.59437,4.33604336043
706,91.82,4.20054200542
707,91.86098,4.06504065041
708,92.25694,3.92953929539
709,92.47496,3.79403794038
710,92.87468,3.65853658537
711,93.57169,3.52303523035
712,94.6327,3.38753387534
713,95.36766,3.25203252033
714,96.32973,3.11653116531
715,99.54291,2.9810298103
716,101.47698,2.84552845528
717,106.10987,2.71002710027
718,112.80768,2.57452574526
719,113.38529,2.43902439024
720,114.90506,2.30352303523
721,117.99638,2.16802168022
722,118.39036,2.0325203252
723,120.99955,1.89701897019
724,123.04232,1.76151761518
725,123.39092,1.62601626016
726,125.84572,1.49051490515
727,131.46976,1.35501355014
728,135.12826,1.21951219512
729,141.52532,1.08401084011
730,149.20878,0.948509485095
731,155.06032,0.813008130081
732,159.2014,0.677506775068
733,199.42728,0.542005420054
734,328.36942,0.406504065041
735,348.84868,0.271002710027
736,361.45552,0.135501355014
