INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,Price
2016-09-12T07:00:00-00:00,2016-09-12T07:15:00-00:00,2016-09-12,1,26.0971
2016-09-12T07:15:00-00:00,2016-09-12T07:30:00-00:00,2016-09-12,1,24.49522
2016-09-12T07:30:00-00:00,2016-09-12T07:45:00-00:00,2016-09-12,1,22.13347
2016-09-12T07:45:00-00:00,2016-09-12T08:00:00-00:00,2016-09-12,1,21.45786
2016-09-12T08:00:00-00:00,2016-09-12T08:15:00-00:00,2016-09-12,2,23.68421
2016-09-12T08:15:00-00:00,2016-09-12T08:30:00-00:00,2016-09-12,2,23.90537
2016-09-12T08:30:00-00:00,2016-09-12T08:45:00-00:00,2016-09-12,2,23.03391
2016-09-12T08:45:00-00:00,2016-09-12T09:00:00-00:00,2016-09-12,2,22.35161
2016-09-12T09:00:00-00:00,2016-09-12T09:15:00-00:00,2016-09-12,3,28.01958
2016-09-12T09:15:00-00:00,2016-09-12T09:30:00-00:00,2016-09-12,3,26.75646
2016-09-12T09:30:00-00:00,2016-09-12T09:45:00-00:00,2016-09-12,3,25.89931
2016-09-12T09:45:00-00:00,2016-09-12T10:00:00-00:00,2016-09-12,3,24.80874
2016-09-12T10:00:00-00:00,2016-09-12T10:15:00-00:00,2016-09-12,4,24.4951
2016-09-12T10:15:00-00:00,2016-09-12T10:30:00-00:00,2016-09-12,4,24.18824
2016-09-12T10:30:00-00:00,2016-09-12T10:45:00-00:00,2016-09-12,4,24.18819
2016-09-12T10:45:00-00:00,2016-09-12T11:00:00-00:00,2016-09-12,4,24.32919
2016-09-12T11:00:00-00:00,2016-09-12T11:15:00-00:00,2016-09-12,5,26.1909
2016-09-12T11:15:00-00:00,2016-09-12T11:30:00-00:00,2016-09-12,5,27.21547
2016-09-12T11:30:00-00:00,2016-09-12T11:45:00-00:00,2016-09-12,5,29.42192
2016-09-12T11:45:00-00:00,2016-09-12T12:00:00-00:00,2016-09-12,5,29.47201
2016-09-12T12:00:00-00:00,2016-09-12T12:15:00-00:00,2016-09-12,6,25.56586
2016-09-12T12:15:00-00:00,2016-09-12T12:30:00-00:00,2016-09-12,6,27.84795
2016-09-12T12:30:00-00:00,2016-09-12T12:45:00-00:00,2016-09-12,6,31.96846
2016-09-12T12:45:00-00:00,2016-09-12T13:00:00-00:00,2016-09-12,6,40.74275
2016-09-12T13:00:00-00:00,2016-09-12T13:15:00-00:00,2016-09-12,7,38.50063
2016-09-12T13:15:00-00:00,2016-09-12T13:30:00-00:00,2016-09-12,7,42.97782
2016-09-12T13:30:00-00:00,2016-09-12T13:45:00-00:00,2016-09-12,7,41.25191
2016-09-12T13:45:00-00:00,2016-09-12T14:00:00-00:00,2016-09-12,7,41.34869
2016-09-12T14:00:00-00:00,2016-09-12T14:15:00-00:00,2016-09-12,8,46.91568
2016-09-12T14:15:00-00:00,2016-09-12T14:30:00-00:00,2016-09-12,8,38.72431
2016-09-12T14:30:00-00:00,2016-09-12T14:45:00-00:00,2016-09-12,8,38.78049
2016-09-12T14:45:00-00:00,2016-09-12T15:00:00-00:00,2016-09-12,8,28.81893
2016-09-12T15:00:00-00:00,2016-09-12T15:15:00-00:00,2016-09-12,9,34.65974
2016-09-12T15:15:00-00:00,2016-09-12T15:30:00-00:00,2016-09-12,9,31.7703
2016-09-12T15:30:00-00:00,2016-09-12T15:45:00-00:00,2016-09-12,9,30.85139
2016-09-12T15:45:00-00:00,2016-09-12T16:00:00-00:00,2016-09-12,9,27.30885
2016-09-12T16:00:00-00:00,2016-09-12T16:15:00-00:00,2016-09-12,10,30.11501
2016-09-12T16:15:00-00:00,2016-09-12T16:30:00-00:00,2016-09-12,10,25.9373
2016-09-12T16:30:00-00:00,2016-09-12T16:45:00-00:00,2016-09-12,10,27.16004
2016-09-12T16:45:00-00:00,2016-09-12T17:00:00-00:00,2016-09-12,10,26.46072
2016-09-12T17:00:00-00:00,2016-09-12T17:15:00-00:00,2016-09-12,11,25.5703
2016-09-12T17:15:00-00:00,2016-09-12T17:30:00-00:00,2016-09-12,11,28.10275
2016-09-12T17:30:00-00:00,2016-09-12T17:45:00-00:00,2016-09-12,11,28.06049
2016-09-12T17:45:00-00:00,2016-09-12T18:00:00-00:00,2016-09-12,11,27.93498
2016-09-12T18:00:00-00:00,2016-09-12T18:15:00-00:00,2016-09-12,12,25.17356
2016-09-12T18:15:00-00:00,2016-09-12T18:30:00-00:00,2016-09-12,12,25.36397
2016-09-12T18:30:00-00:00,2016-09-12T18:45:00-00:00,2016-09-12,12,25.56846
2016-09-12T18:45:00-00:00,2016-09-12T19:00:00-00:00,2016-09-12,12,25.25858
2016-09-12T19:00:00-00:00,2016-09-12T19:15:00-00:00,2016-09-12,13,24.81564
2016-09-12T19:15:00-00:00,2016-09-12T19:30:00-00:00,2016-09-12,13,24.81471
2016-09-12T19:30:00-00:00,2016-09-12T19:45:00-00:00,2016-09-12,13,25.56947
2016-09-12T19:45:00-00:00,2016-09-12T20:00:00-00:00,2016-09-12,13,24.81447
2016-09-12T20:00:00-00:00,2016-09-12T20:15:00-00:00,2016-09-12,14,22.09614
2016-09-12T20:15:00-00:00,2016-09-12T20:30:00-00:00,2016-09-12,14,23.37278
